U_mes;I_mes;U_L;I_L;U_LT;I_LT;U_ref;E_Ref
1,47655;8,12074;1,47655;8,1267;1,46827;8,1343;0,0538551;0,999266 
1,5073;8,16584;1,5073;8,12149;1,49884;8,12909;0,0541889;1,00546 
1,46118;8,10872;1,46118;8,14437;1,45298;8,15198;0,0536587;0,995623 
1,47655;8,09669;1,47655;8,13526;1,46827;8,14287;0,0536391;0,995258 
1,47655;8,08466;1,47655;8,1113;1,46827;8,11889;0,0537176;0,996716 
1,49192;8,14179;1,49192;8,12111;1,48355;8,12871;0,0540318;1,00255 
5,79625;8,07564;5,79625;8,07274;5,76373;8,08029;0,053914;1,00036 
7,17978;8,02754;7,17978;8,05693;7,1395;8,06447;0,053698;0,996352 
8,31735;7,89826;8,31735;7,97384;8,27069;7,98129;0,0533838;0,990522 
9,07061;7,87721;9,07061;7,91764;9,01972;7,92504;0,0536194;0,994894 
10,4388;7,88924;10,4388;7,92102;10,3802;7,92843;0,0536783;0,995987 
11,0383;7,8742;11,0383;7,92042;10,9764;7,92782;0,0535801;0,994165 
11,7608;7,84715;11,7608;7,92515;11,6948;7,93256;0,0533641;0,990157 
12,7293;7,86518;12,7293;7,92005;12,6579;7,92746;0,0535212;0,993072 
13,3442;7,86819;13,3442;7,93473;13,2693;7,94215;0,0534427;0,991615 
13,9591;7,85917;13,9591;7,93438;13,8808;7,9418;0,0533838;0,990522 
14,7431;7,8742;14,7431;7,92914;14,6604;7,93655;0,0535212;0,993072 
15,3734;7,88322;15,3734;7,92078;15,2871;7,92819;0,0536391;0,995258 
16,2957;7,86218;16,2957;7,91122;16,2043;7,91862;0,0535605;0,993801 
17,0029;7,89525;17,0029;7,90105;16,9075;7,90843;0,0538551;0,999266 
17,7561;7,90126;17,7561;7,89555;17,6565;7,90293;0,0539336;1,00072 
18,0482;7,88924;18,0482;7,91523;17,947;7,92263;0,0537176;0,996716 
18,3864;7,89525;18,3864;7,91259;18,2833;7,91998;0,0537765;0,997809 
19,3702;7,9163;19,3702;7,90194;19,2616;7,90933;0,0539925;1,00182 
19,647;7,90126;19,647;7,8898;19,5367;7,89718;0,0539729;1,00145 
20,0466;7,92832;20,0466;7,86815;19,9342;7,87551;0,0543067;1,00765 
20,4002;7,94636;20,4002;7,87751;20,2858;7,88488;0,0543656;1,00874 
21,1073;7,92832;21,1073;7,87385;20,9889;7,88121;0,0542675;1,00692 
21,4148;7,92532;21,4148;7,86802;21,2947;7,87537;0,0542871;1,00728 
21,8145;7,95839;21,8145;7,8667;21,6921;7,87406;0,0545227;1,01166 
22,4909;7,94035;22,4909;7,86871;22,3647;7,87607;0,0543853;1,0091 
22,783;7,93133;22,783;7,85977;22,6551;7,86712;0,0543853;1,0091 
23,2134;7,96139;23,2134;7,83019;23,0832;7,83751;0,0547977;1,01676 
23,6438;7,96139;23,6438;7,84424;23,5112;7,85158;0,0546995;1,01493 
23,8898;7,94035;23,8898;7,8517;23,7558;7,85904;0,0545031;1,01129 
24,2741;7,95538;24,2741;7,84114;24,1379;7,84847;0,0546798;1,01457 
